,Season,Round,Team,Opponent,Venue,Attendance,Formation,Opp Formation,xG,xGA,Poss,Sh,SoT,Dist,FK,PK,PKatt,GF,GA,Result
148,2025,Matchweek 36,Juventus,Lazio,Away,56000,3-4-3,4-2-3-1,0.8,1.7,42,8,2,17,1,0,0,1,1,D
149,2025,Matchweek 37,Juventus,Udinese,Home,40259,4-2-3-1,3-4-3,1.8,0.3,63,24,7,17.3,1,0,0,2,0,W
150,2025,Matchweek 38,Juventus,Venezia,Away,12048,3-4-3,3-5-2,1.9,0.9,56,14,4,16.7,0,1,1,3,2,W
151,2025,Matchweek 1,Roma,Cagliari,Away,16261,4-2-3-1,3-5-2,0.9,1,57,15,3,19.8,1,0,0,0,0,D
152,2025,Matchweek 2,Roma,Empoli,Home,67517,4-3-2-1,3-4-3,2.1,2.7,73,27,7,16.4,0,0,0,1,2,L
153,2025,Matchweek 3,Roma,Juventus,Away,41375,4-2-3-1,4-2-3-1,0.3,0.5,51,7,1,21.1,0,0,0,0,0,D
154,2025,Matchweek 4,Roma,Genoa,Away,33009,3-5-1-1,3-5-2,2.2,1.2,52,16,5,13.8,0,0,0,1,1,D
155,2025,Matchweek 5,Roma,Udinese,Home,63499,3-5-1-1,3-4-3,1.9,0.7,62,15,7,18.6,0,1,1,3,0,W
156,2025,Matchweek 6,Roma,Venezia,Home,62165,3-4-3,3-4-3,1.7,1.7,69,22,5,18.7,1,0,0,2,1,W
157,2025,Matchweek 7,Roma,Monza,Away,12021,3-4-3,3-4-3,1.1,1.1,65,15,4,18.6,0,0,0,1,1,D
158,2025,Matchweek 8,Roma,Inter,Home,64119,3-4-3,3-5-2,1,1,55,14,3,17.9,0,0,0,0,1,L
159,2025,Matchweek 9,Roma,Fiorentina,Away,20440,3-5-1-1,4-2-3-1,0.8,3.7,61,14,5,22.4,1,0,0,1,5,L
160,2025,Matchweek 10,Roma,Torino,Home,60920,3-4-3,3-5-2,0.6,0.2,57,9,3,19.9,0,0,0,1,0,W
161,2025,Matchweek 11,Roma,Hellas Verona,Away,28185,3-4-3,4-2-3-1,1.7,1.1,66,14,3,16.5,1,0,0,2,3,L
162,2025,Matchweek 12,Roma,Bologna,Home,50500,3-4-3,4-2-3-1,1.3,1.7,54,15,5,16.9,1,0,0,2,3,L
163,2025,Matchweek 13,Roma,Napoli,Away,51164,4-4-1-1,4-3-3,0.6,1.4,37,6,1,18,0,0,0,0,1,L
164,2025,Matchweek 14,Roma,Atalanta,Home,55772,3-5-1-1,3-4-3,0.4,1.3,48,5,1,21.6,0,0,0,0,2,L
165,2025,Matchweek 15,Roma,Lecce,Home,58213,3-4-1-2,3-4-1-2,1.8,0.9,59,23,8,17.3,0,0,0,4,1,W
166,2025,Matchweek 16,Roma,Como,Away,13602,3-4-3,4-2-3-1,0.3,1.2,62,6,1,17.3,1,0,0,0,2,L
167,2025,Matchweek 17,Roma,Parma,Home,62968,3-4-3,4-2-3-1,5.4,0.4,59,17,7,13.4,1,2,2,5,0,W
168,2025,Matchweek 18,Roma,Milan,Away,74283,3-4-3,4-2-3-1,1.3,1.9,54,12,5,19.9,0,0,0,1,1,D
169,2025,Matchweek 19,Roma,Lazio,Home,65042,3-5-2,4-2-3-1,1.1,0.9,33,7,5,14,0,0,0,2,0,W
170,2025,Matchweek 20,Roma,Bologna,Away,30226,3-5-2,4-2-3-1,1.4,2,46,10,3,19.9,0,1,1,2,2,D
171,2025,Matchweek 21,Roma,Genoa,Home,62217,3-5-2,4-2-3-1,1.6,0.5,52,16,7,18.1,2,0,0,3,1,W
172,2025,Matchweek 22,Roma,Udinese,Away,23853,3-5-1-1,3-5-2,2.7,0.8,51,14,7,17.8,0,2,2,2,1,W
173,2025,Matchweek 23,Roma,Napoli,Home,60788,4-3-3,4-3-3,0.5,0.4,51,12,2,22.4,2,0,0,1,1,D
174,2025,Matchweek 24,Roma,Venezia,Away,9380,3-4-3,3-4-3,1.6,0.7,38,12,3,14.7,0,1,1,1,0,W
175,2025,Matchweek 25,Roma,Parma,Away,20559,3-5-2,4-3-3,1.1,0.2,71,16,4,18.7,1,0,0,1,0,W
176,2025,Matchweek 26,Roma,Monza,Home,56965,3-4-3,3-4-3,1.5,0.3,65,23,6,19.3,0,0,0,4,0,W
177,2025,Matchweek 27,Roma,Como,Home,62125,3-4-3,4-3-3,1.6,1.2,48,11,4,17.5,0,0,0,2,1,W
178,2025,Matchweek 28,Roma,Empoli,Away,12393,3-4-3,3-4-3,2,0.1,64,16,7,19,1,0,0,1,0,W
179,2025,Matchweek 29,Roma,Cagliari,Home,62911,3-4-3,3-5-1-1,1.3,0.8,61,13,1,19.7,1,0,0,1,0,W
180,2025,Matchweek 30,Roma,Lecce,Away,27207,3-4-3,4-2-3-1,2.4,0.7,55,16,6,16.9,0,0,0,1,0,W
